样本ts_code,样本公司名称,观测年数,ROA_均值,ROA_中位数,ROA_波动率(std),ROA_负值年占比,ROA_连续亏损年数,ROE_均值,ROE_中位数,ROE_波动率(std),ROE_负值年占比,ROE_连续亏损年数,营业净利率_均值,营业净利率_中位数,营业净利率_波动率(std),营业净利率_负值年占比,营业净利率_连续亏损年数
000681.SZ,视觉中国,5,0.033587799999999994,0.034896,0.005554003844075012,0.0,0,0.0410446,0.044837,0.007502462815635942,0.0,0,0.1971156,0.197285,0.046044316818691096,0.0,0
000892.SZ,欢瑞世纪,5,-0.14593720000000002,-0.143121,0.09623347150913762,0.8,2,-0.22267520000000002,-0.254137,0.13918764741779352,0.8,2,-1.3925813999999999,-0.873104,1.656233236068459,0.8,2
001229.SZ,魅视科技,5,0.094827,0.085637,0.025178932046455025,0.0,0,0.10298133333333333,0.092076,0.028622982397600236,0.0,0,0.4251146,0.411396,0.02413544010992963,0.0,0
001330.SZ,博纳影业,5,-0.03308933333333333,-0.034504,0.027457346217967485,1.0,3,-0.08354500000000002,-0.085442,0.0699667900721478,1.0,3,-0.1501692,-0.038882,0.31316738121282683,0.6,3
002095.SZ,生意宝,5,0.009521400000000001,0.01397,0.019119443932813528,0.2,1,0.0133614,0.019498,0.026260243959262828,0.2,1,0.042466000000000004,0.049744,0.06556932402808496,0.2,1
002115.SZ,三维通信,5,-0.03508019999999999,0.000562,0.07805354624679138,0.4,1,-0.0636116,0.001011,0.14402370687077876,0.4,1,-0.014872,0.000299,0.033801281255301546,0.4,1
002123.SZ,梦网科技,5,-0.09476380000000001,-0.038185,0.14927059796791867,0.6,3,-0.1849032,-0.056124,0.31389257785538666,0.6,3,-0.1115,-0.076807,0.1573739662857234,0.6,3
002174.SZ,游族网络,5,-0.0289824,-0.021341,0.050404618546319745,0.6,1,-0.0405706,-0.037366,0.06940858518800105,0.6,1,-0.1038126,-0.039747,0.17825389385171925,0.6,1
002181.SZ,粤传媒,5,0.019687200000000002,0.007246,0.026679186657392686,0.0,0,0.0229374,0.009005,0.030244316561959205,0.0,0,0.1839892,0.070621,0.2493557526089984,0.0,0
002264.SZ,新华都,5,0.0526926,0.056274,0.030212917134894473,0.0,0,0.12824580000000002,0.147847,0.07232637771034853,0.0,0,0.0490004,0.067363,0.03053639485597473,0.0,0
002291.SZ,遥望科技,5,-0.0925996,-0.111574,0.07384444915022388,0.8,4,-0.1341704,-0.155176,0.1119510143067047,0.8,4,-0.14718039999999996,-0.212605,0.11376123140068412,0.8,4
002343.SZ,慈文传媒,5,-0.0368792,0.018935,0.08493787077741,0.4,2,-0.0744628,0.027808,0.1567949081689198,0.4,2,-0.175776,0.059338,0.36442504705906265,0.4,2
002354.SZ,天娱数科,5,-0.10754040000000001,-0.057975,0.1956228039334883,0.6,3,-0.12254379999999998,-0.078788,0.24851500695471088,0.6,3,-0.12444580000000002,-0.069582,0.29566138654244317,0.6,3
002425.SZ,凯撒文化,5,-0.08777280000000001,-0.142009,0.09903053096747488,0.6,3,-0.0994002,-0.159682,0.11328742711439782,0.6,3,-0.8347735999999999,-1.195817,0.9496716793475523,0.6,3
002558.SZ,巨人网络,5,0.08749080000000001,0.086955,0.014506147479603262,0.0,0,0.09992160000000001,0.098368,0.018262069948393033,0.0,0,0.44147359999999997,0.465826,0.04838292297185031,0.0,0
002605.SZ,姚记科技,5,0.16065419999999997,0.130168,0.09626847170906994,0.0,0,0.2732876,0.198615,0.19563628308112987,0.0,0,0.19868619999999998,0.149006,0.13953000021214074,0.0,0
002712.SZ,思美传媒,5,-0.1019726,-0.053517,0.13507959279180554,0.8,3,-0.14970540000000002,-0.085798,0.19076106331167272,0.8,3,-0.0803378,-0.023688,0.12427461589037402,0.8,3
002995.SZ,天地在线,5,0.010169799999999996,0.003271,0.05295471174220477,0.4,2,0.021133199999999998,0.004798,0.08109030385132368,0.4,2,-0.0033358,0.001661,0.031094023914572395,0.4,2
003040.SZ,楚天龙,5,0.0439234,0.033162,0.02734222554584758,0.0,0,0.0649414,0.048553,0.04146854856755901,0.0,0,0.0627644,0.052577,0.03429496214169072,0.0,0
300031.SZ,宝通科技,5,0.030213799999999996,0.042566,0.07263361416176398,0.2,1,0.04644919999999999,0.064451,0.10735870048673278,0.2,1,0.053915199999999996,0.076896,0.12270274637390965,0.2,1
300063.SZ,天龙集团,5,0.029503800000000004,0.032721,0.01504761707713218,0.0,0,0.0659048,0.07134,0.03819642120932274,0.0,0,0.0097918,0.0115,0.004433169599733356,0.0,0
300071.SZ,福石控股,5,-0.0577912,-0.027596,0.21032178476729413,0.6,2,-0.206232,-0.154643,0.4574056749024874,0.6666666666666666,2,-0.0980678,-0.024481,0.30461449663336776,0.6,2
300182.SZ,捷成股份,5,0.0108938,0.043504,0.06670646450832182,0.2,1,0.010129000000000003,0.058747,0.10796226648232242,0.2,1,0.022235199999999997,0.121576,0.23148193169597495,0.2,1
300213.SZ,佳讯飞鸿,5,0.027817400000000003,0.021815,0.009651941840893987,0.0,0,0.039353000000000006,0.030875,0.014257583455831498,0.0,0,0.0810854,0.05966,0.033871842602669254,0.0,0
300235.SZ,方直科技,5,0.0364194,0.033573,0.009290629650352015,0.0,0,0.03768540000000001,0.034673,0.009754910009836073,0.0,0,0.235174,0.216455,0.05011173516253452,0.0,0
300295.SZ,三六五网,5,-0.015462199999999999,0.006559,0.044586269026461504,0.4,2,-0.0137108,0.008424,0.05468487851956883,0.4,2,-0.22618200000000002,0.071814,0.4717623424670519,0.4,2
300364.SZ,中文在线,5,-0.033580200000000004,0.03077,0.11540432043992115,0.4,1,-0.0520166,0.040425,0.16742426162686222,0.4,1,-0.053654999999999994,0.059633,0.1900108071808022,0.4,1
300399.SZ,天利科技,5,0.032195,0.030586,0.02646650366973318,0.0,0,0.035581,0.034735,0.028900467920087384,0.0,0,0.0378964,0.037563,0.032706120081721704,0.0,0
300426.SZ,华智数媒,5,-0.006542399999999999,0.00338,0.02011422988334378,0.4,1,-0.13428679999999998,0.13539,0.5146250146710709,0.4,1,-0.09621060000000001,0.016198,0.20378360243478866,0.4,1
300459.SZ,汤姆猫,5,-0.012636800000000004,0.066807,0.1426090166020368,0.4,2,0.005860799999999999,0.117832,0.2616543863213457,0.4,2,-0.06970579999999997,0.268708,0.5781560356497197,0.4,2
300466.SZ,赛摩智能,5,-0.0194658,-0.013762,0.03726420165789145,0.6,2,-0.0357818,-0.021036,0.06774723843227855,0.6,2,-0.045808800000000004,-0.029739,0.08926843607737284,0.6,2
300494.SZ,盛天网络,5,0.0354906,0.072748,0.10279272385631194,0.2,1,0.054629,0.103343,0.12631857082195003,0.2,1,0.04517600000000001,0.102411,0.15448058907513268,0.2,1
300561.SZ,*ST汇科,5,0.005005000000000001,0.010971,0.023160174999338843,0.2,1,0.006138600000000001,0.01217,0.02516027257006569,0.2,1,0.00015140000000000154,0.050564,0.14585109583167347,0.2,1
300578.SZ,会畅科技,5,-0.0641896,0.007339,0.15336650865752927,0.4,1,-0.07611300000000001,0.008668,0.18472898232004636,0.4,1,-0.24234680000000003,0.02145,0.5212655126600071,0.4,1
300612.SZ,宣亚国际,5,-0.02312,-0.036869,0.06063539023952926,0.6,2,-0.05382960000000001,-0.072884,0.16577901722262683,0.6,2,-0.023638399999999997,-0.043583,0.049806898280258326,0.6,2
300654.SZ,世纪天鸿,5,0.042523399999999996,0.040369,0.0035126117491120473,0.0,0,0.05980920000000001,0.055822,0.008269431945424066,0.0,0,0.08678140000000001,0.085508,0.0037584334236487405,0.0,0
300711.SZ,广哈通信,5,0.05648299999999999,0.055213,0.010655980761994645,0.0,0,0.0782868,0.075357,0.019124735480523646,0.0,0,0.125994,0.127335,0.0156992715117613,0.0,0
300781.SZ,因赛集团,5,0.0452064,0.055179,0.04326040127298867,0.2,1,0.05820960000000001,0.073093,0.058171666099571195,0.2,1,0.08629840000000001,0.112813,0.06673682666114715,0.2,1
300785.SZ,值得买,5,0.059154,0.0375,0.03301977719488731,0.0,0,0.0733968,0.04705,0.04099430118565263,0.0,0,0.09511339999999999,0.068694,0.05261988484689035,0.0,0
300802.SZ,矩子科技,5,0.06843600000000001,0.080462,0.025200859112339803,0.0,0,0.07888900000000001,0.091763,0.030573524731375024,0.0,0,0.15804079999999998,0.167654,0.03852057672465458,0.0,0
300882.SZ,万胜智能,5,0.1012302,0.095308,0.042124885663939786,0.0,0,0.14305079999999998,0.14624,0.060066537262439226,0.0,0,0.15653299999999998,0.152924,0.04112805944242933,0.0,0
300977.SZ,深圳瑞捷,5,0.08170259999999999,0.02635,0.11838615065876582,0.2,1,0.10680960000000002,0.030154,0.16052306637458683,0.2,1,0.0853256,0.086024,0.10241564791231857,0.2,1
300989.SZ,蕾奥规划,5,0.03668225,0.029468,0.06693869108059504,0.25,1,0.049742749999999995,0.035549,0.09177256284378608,0.25,1,0.0788434,0.087421,0.13965632101806205,0.2,1
301052.SZ,果麦文化,5,0.0674825,0.0629435,0.022097639700504965,0.0,0,0.083365,0.077255,0.026486054607409288,0.0,0,0.10147499999999998,0.112179,0.021717902580590052,0.0,0
301129.SZ,瑞纳智能,5,0.07937825000000001,0.0717325,0.052766177414293215,0.0,0,0.0987735,0.08652950000000001,0.0682147136547534,0.0,0,0.2563094,0.310312,0.08169523460888034,0.0,0
301171.SZ,易点天下,5,0.04888766666666666,0.044409,0.008100887934870678,0.0,0,0.07941633333333332,0.065783,0.024342961556337667,0.0,0,0.0947934,0.094701,0.013937241882811681,0.0,0
301213.SZ,观想科技,5,0.02598725,0.008372000000000001,0.048836702566648925,0.5,2,0.030881499999999996,0.0094395,0.05835336083151795,0.5,2,0.1682138,0.18343,0.20559184313269827,0.4,2
301299.SZ,卓创资讯,5,0.06701133333333333,0.073539,0.012633840521921007,0.0,0,0.10385700000000002,0.110101,0.025109182623096277,0.0,0,0.2147968,0.21375,0.024131524707320093,0.0,0
301313.SZ,凡拓数创,5,-0.03757766666666667,0.00603,0.08075870407784744,0.3333333333333333,1,-0.05945433333333333,0.008614,0.12626310153141865,0.3333333333333333,1,-0.056929400000000005,0.022469,0.2602949901713439,0.2,1
301380.SZ,挖金客,5,0.068226,0.069504,0.013926050660542635,0.0,0,0.08556666666666667,0.084523,0.0029332269488284296,0.0,0,0.1064462,0.090325,0.0379596174335306,0.0,0
301382.SZ,蜂助手,5,0.0716125,0.0716125,0.02582848939640102,0.0,0,0.097861,0.097861,0.033321699956634865,0.0,0,0.1330792,0.142344,0.030909270481523827,0.0,0
600556.SH,天下秀,5,0.0436154,0.029361,0.0380729068209928,0.0,0,0.062047200000000004,0.042724,0.05364577707238474,0.0,0,0.0476658,0.038068,0.03643596720549627,0.0,0
600633.SH,浙数文化,5,0.0524174,0.054675,0.008078855940044977,0.0,0,0.0631776,0.066127,0.01061898186268345,0.0,0,0.18260559999999998,0.200411,0.04570537127406362,0.0,0
600640.SH,国脉文化,5,-0.0168338,0.002165,0.02767082841549924,0.4,2,-0.0217748,0.002888,0.03589525769791881,0.4,2,-0.023548400000000004,0.003269,0.04096787797531134,0.4,2
600715.SH,文投控股,5,-0.3004148,-0.382803,0.1399559979661465,1.0,5,-0.6464393333333334,-0.760992,0.31886894018755313,1.0,3,-2.8611082,-2.307706,2.2380319712456527,1.0,5
600734.SH,实达集团,5,0.017271200000000004,0.006113,0.22774409356600228,0.4,1,-0.042149,0.014892,0.17723586521074117,0.3333333333333333,1,-0.0013015999999999855,0.01909,0.4937745600846605,0.4,1
600986.SH,浙文互联,5,0.0216378,0.018915,0.012363790810265271,0.0,0,0.039312,0.031056,0.02320773865545715,0.0,0,0.015085000000000001,0.017575,0.006887634172921788,0.0,0
603533.SH,掌阅科技,5,0.0436654,0.01689,0.046069009646398956,0.0,0,0.0644204,0.02241,0.07284737702072738,0.0,0,0.0507894,0.022348,0.046681397711508164,0.0,0
603598.SH,引力传媒,5,-0.0191594,-0.013745,0.06860155101234956,0.6,2,-0.1327378,-0.095449,0.41188146843564105,0.6,2,-0.0070622,-0.002879,0.023189790009829757,0.6,2
603602.SH,纵横通信,5,0.0114386,0.012533,0.008988547257482713,0.2,1,0.0247834,0.027442,0.01898667881173535,0.2,1,0.0151804,0.017974,0.011147020175813803,0.2,1
603679.SH,华体科技,5,-0.0109082,-0.036479,0.04889036361799736,0.6,2,-0.020402,-0.072219,0.08932535921562253,0.6,2,-0.0572698,-0.092547,0.14296500155877312,0.6,2
603825.SH,ST华扬,5,-0.080929,-0.091845,0.10988393612352991,0.6,3,-0.3951098,-0.383954,0.5450825070199924,0.6,3,-0.0927742,-0.08527,0.12722786290431826,0.6,3
603888.SH,新华网,5,0.04612619999999999,0.045728,0.005196594240461728,0.0,0,0.06955039999999998,0.068337,0.009781017089239747,0.0,0,0.120511,0.122104,0.008602296350393886,0.0,0
603960.SH,克来机电,5,0.06530540000000001,0.05369,0.03048938769965707,0.0,0,0.08379100000000002,0.066829,0.046793205259952,0.0,0,0.12108680000000001,0.099685,0.04006760734932897,0.0,0
688358.SH,祥生医疗,5,0.08332099999999999,0.081867,0.00994351011967102,0.0,0,0.0938428,0.092248,0.011189804520187115,0.0,0,0.2924584,0.299124,0.011291079501092878,0.0,0
688420.SH,美腾科技,5,0.054028999999999994,0.041044,0.04073639933769307,0.0,0,0.07214633333333333,0.05059,0.059405991636646664,0.0,0,0.1933008,0.224086,0.08929244180612377,0.0,0
688619.SH,罗普特,5,-0.0262176,-0.024518,0.0673200987840927,0.6,3,-0.038841200000000006,-0.03925,0.11383864514170924,0.6,3,-0.4192188,-0.103576,0.6512470336006914,0.6,3
688659.SH,元琛科技,5,0.0048264999999999975,-0.007113499999999999,0.05487561948321555,0.5,2,-0.00036175000000000096,-0.015387,0.10094218647778869,0.5,2,0.0282806,0.010762,0.10702632590535843,0.4,2
688768.SH,容知日新,5,0.10357575,0.111327,0.03367789294057255,0.0,0,0.13166175,0.140014,0.04131742764157356,0.0,0,0.2017866,0.204574,0.05620810175410658,0.0,0
920021.BJ,流金科技,5,0.031765800000000004,0.016352,0.04684205892891558,0.2,1,0.0465158,0.028235,0.0701946078676988,0.2,1,0.0306282,0.024006,0.052524247216880704,0.2,1
920092.BJ,汉鑫科技,5,0.0507572,0.044905,0.05290744495531796,0.2,1,0.09549759999999999,0.080441,0.10101051720637806,0.2,1,0.07849599999999998,0.082383,0.10014485748903934,0.2,1
920207.BJ,众诚科技,5,0.0363994,0.037375,0.06621688411802536,0.2,1,0.0872006,0.067481,0.146630002046989,0.2,1,0.027159,0.051542,0.07789634519988727,0.2,1
920227.BJ,美登科技,5,0.15804900000000002,0.132353,0.06925788127354171,0.0,0,0.1853656,0.141577,0.09770197285520901,0.0,0,0.3593806,0.370411,0.047176079376099064,0.0,0
